"Site","Treatment","Seed_Arrival","PlotID","GNDVI_apr_21","LCI_apr_21","NDRE_apr_21","NDVI_apr_21","OSAVI_apr_21","GNDVI_oct_21","LCI_oct_21","NDRE_oct_21","NDVI_oct_21","OSAVI_oct_21"
1,"SM","SA4",1,0.48605107372799,0.183975617608615,0.146973384830087,0.434943722144243,0.16150234636718,0.454949232683286,0.14295515311794,0.110432419777036,0.412258179043985,0.249677737508985
1,"SM+BC","SA4",2,0.413052618576056,0.145441640380119,0.12069828856208,0.350718263637231,0.177755462237024,0.332156362262236,0.0820375740156468,0.0717591089553983,0.225770793501813,0.121624016094494
1,"C","SA4",3,0.405404718698927,0.141511827844708,0.11937640824114,0.326881782264149,0.207957716145431,0.450104898360867,0.12842992513896,0.103859053521974,0.372182361300465,0.178470809741762
1,"C","SA2",4,0.394414145493169,0.141879452571499,0.121471203467843,0.307797568845883,0.199776997137202,0.432414960065523,0.139742816980007,0.11717250307413,0.334161110183648,0.161909046422504
1,"SM+BC","SA3",5,0.409025268531447,0.149792660535439,0.127932999481183,0.32002659352751,0.205480965881405,0.311118875779445,0.0849140580973458,0.0751056315126454,0.217961011644169,0.118892659906751
1,"SM+BC","SA4",6,0.440234638395081,0.184922740019575,0.153874469757765,0.380850391427639,0.152941046543392,0.281136799881856,0.0754433416279612,0.0672605799387769,0.198676367046407,0.104671256697311
1,"SM","SA1",7,0.402838903331362,0.142971365038585,0.123858329454235,0.297879233815093,0.196439817994974,0.320434740025362,0.0939449534264032,0.0821482635810741,0.238020075083517,0.131501751677895
1,"BC","SA3",8,0.457679075150851,0.226057675097178,0.18058546010899,0.468431419783669,0.144742045988204,0.44339571344908,0.140147830845483,0.107919349708662,0.406042557112051,0.19540034273939
1,"C","SA4",9,0.372665999482254,0.222013055950648,0.181945124082831,0.44318028058925,0.0618195175622643,0.412891854893849,0.106518867470796,0.0901573099531686,0.289838868189871,0.144672485421028
1,"SM","SA4",10,0.333791936494243,0.190335242392314,0.156654479532264,0.408439709607645,0.0558482326140014,0.338216345358938,0.0869621190657573,0.0745863078168901,0.252031437161456,0.142788073458918
1,"C","SA1",11,0.334385045836393,0.181784723905504,0.144811153396843,0.439561332252291,0.059034792053668,0.412456542470816,0.120400099677212,0.100726564910349,0.316999382417546,0.153539208298392
1,"SM+BC","SA4",12,0.339540256791209,0.179385444058661,0.142703966024145,0.439950030108828,0.0589927863061674,0.34462316570357,0.0903133376885897,0.0760086570078595,0.274929018639812,0.141650848720382
1,"SM+BC","SA3",13,0.421607249707439,0.170708588109239,0.139569666696837,0.390968203520584,0.127181865385474,0.429635202179891,0.140060214388322,0.108274856686993,0.384627822664209,0.232419090997422
1,"SM","SA4",14,0.393246717292167,0.148028613886515,0.123259728696102,0.34817047217262,0.142731315778586,0.393845598017686,0.110988065064756,0.0921099777632616,0.31662910310004,0.165608547933941
1,"SM+BC","SA1",15,0.391459021215914,0.148069679092855,0.121693527255246,0.359748339895166,0.141274879625047,0.441452043226977,0.131404719666417,0.101897843953569,0.42598088299052,0.171822574805725
1,"BC","SA4",16,0.389626680397754,0.138733999729974,0.118717783439822,0.307172535694609,0.191443783718869,0.448405950206836,0.131406709810511,0.102834254954528,0.424416189263269,0.190624452472862
1,"BC","SA2",17,0.389194729775956,0.139841606577015,0.119448261228256,0.311135196554404,0.200674362050145,0.388275308048386,0.114656038452848,0.093965597501304,0.342008659005942,0.139712576653577
1,"SM","SA1",18,0.389036151190433,0.134429358313207,0.114637662541144,0.307740285656822,0.204153585923535,0.356095217357865,0.100988148266404,0.0853657039958639,0.286579027981459,0.159241418900638
1,"SM+BC","SA2",19,0.392048758399487,0.165445762296327,0.14040710999499,0.339520369216364,0.147470331975815,0.320013270557965,0.0828942765671632,0.0715980560812068,0.240077891188235,0.131278728352361
1,"C","SA1",20,0.389038735054076,0.137288251706407,0.11866891433464,0.294221005515028,0.199998275636921,0.438334198351436,0.14910478519876,0.123838065884068,0.353965143781317,0.181321186642728
1,"SM+BC","SA3",21,0.350623708615332,0.1838821407502,0.154004203059174,0.376480822816698,0.067531425224239,0.328368764267796,0.0843584730014604,0.0734250892813966,0.233542643850101,0.130313409469488
1,"BC","SA1",22,0.320011201888101,0.155400413211912,0.124832698860433,0.400271992752546,0.0643144429473025,0.380663129366024,0.112899199039447,0.0933663134154723,0.327075636866378,0.134429571789289
1,"BC","SA4",23,0.332768362628428,0.155693581120905,0.1261362112954,0.390472398688115,0.0728374334620591,0.388614880558956,0.118076529010419,0.0987727880779667,0.321734534641444,0.135850961915219
1,"SM","SA3",24,0.350283688220909,0.167789518330692,0.133946420228329,0.423568440249914,0.0702506305849434,0.360674933949675,0.102534162849904,0.0857317740102343,0.29713272509098,0.161686855864172
1,"BC","SA3",25,0.451831197957347,0.236638668787544,0.187162496635527,0.501843832733635,0.0864770345110364,0.482608275192747,0.155901021402849,0.121107300764818,0.431176689872014,0.206637190632432
1,"BC","SA1",26,0.440894787619481,0.209340862008056,0.163685108369489,0.4916408574592,0.103963588349099,0.424355009767302,0.119826493023626,0.0976676562145617,0.353829638720091,0.13884395642764
